Discription;Longitude;Latitude;Code;Date
Geological phenomena;39.903469;21.4267;WhatsApp Image 2026-01-08 at 11.12.01 AM (1).jpeg;01/08/2026
Geological phenomena;39.903462;21.424269;WhatsApp Image 2026-01-08 at 11.12.01 AM (2).jpeg;01/08/2026
Geological phenomena;39.903508;21.424403;WhatsApp Image 2026-01-08 at 11.12.01 AM.jpeg;01/08/2026
Geological phenomena;39.903434;21.424198;WhatsApp Image 2026-01-08 at 11.12.02 AM.jpeg;01/08/2026
Geological phenomena;39.903471;21.424651;WhatsApp Image 2026-01-08 at 11.18.09 AM.jpeg;01/08/2026
Geological phenomena;39.903435;21.420049;WhatsApp Image 2026-01-08 at 12.07.20 PM.jpeg;01/08/2026
Geological phenomena;39.903536;21.425354;WhatsApp Image 2026-01-08 at 12.20.40 PM.jpeg;01/08/2026
Geological phenomena;39.902786;21.42141;WhatsApp Image 2026-01-10 at 3.03.26 PM.jpeg;01/10/2026
Geological phenomena;39.903021;21.421058;WhatsApp Image 2026-01-10 at 3.20.23 PM.jpeg;01/10/2026
Geological phenomena;39.902805;21.4235;WhatsApp Image 2026-01-10 at 8.56.20 AM.jpeg;01/10/2026
Geological phenomena;39.902912;21.423452;WhatsApp Image 2026-01-10 at 9.14.41 AM (1).jpeg;01/10/2026
Geological phenomena;39.902915;21.423451;WhatsApp Image 2026-01-10 at 9.14.41 AM.jpeg;01/10/2026
Geological phenomena;39.902948;21.423385;WhatsApp Image 2026-01-10 at 9.14.42 AM (1).jpeg;01/10/2026
Geological phenomena;39.902905;21.423445;WhatsApp Image 2026-01-10 at 9.14.42 AM.jpeg;01/10/2026
Geological phenomena;39.902977;21.423402;WhatsApp Image 2026-01-10 at 9.14.43 AM (1).jpeg;01/10/2026
Geological phenomena;39.902974;21.423402;WhatsApp Image 2026-01-10 at 9.14.43 AM.jpeg;01/10/2026
Geological phenomena;39.902828;21.42366;WhatsApp Image 2026-01-10 at 9.42.22 AM.JPG;01/10/2026
Geological phenomena;39.903094;21.422275;WhatsApp Image 2026-01-10 at 9.47.07 AM.jpeg;01/10/2026
Geological phenomena;39.903237;21.422175;WhatsApp Image 2026-01-10 at 10.03.38 AM.jpeg;01/10/2026
Geological phenomena;39.903034;21.421683;WhatsApp Image 2026-01-10 at 10.57.58 AM.jpeg;01/10/2026
Geological phenomena;39.902913;21.42392;WhatsApp Image 2026-01-10 at 10.59.08 AM.jpeg;01/10/2026
Geological phenomena;39.903243;21.422024;WhatsApp Image 2026-01-10 at 11.31.29 AM.jpeg;01/10/2026
Geological phenomena;39.903011;21.423994;WhatsApp Image 2026-01-10 at 11.34.22 AM.jpeg;01/10/2026
Geological phenomena;39.9028032;21.424052;WhatsApp Image 2026-01-10 at 12.34.35 PM.jpeg;01/10/2026
Geological phenomena;39.903552;21.425316;WhatsApp Image 2026-01-11 at 2.37.52 PM.JPG;01/11/2026
Geological phenomena;39.903574;21.425104;WhatsApp Image 2026-01-11 at 2.47.40 PM.JPG;01/11/2026
Geological phenomena;39.902902;21.42024;WhatsApp Image 2026-01-11 at 9.18.51 AM.JPG;01/11/2026
Geological phenomena;39.902915;21.420578;WhatsApp Image 2026-01-11 at 9.20.18 AM.JPG;01/11/2026
Geological phenomena;39.902671;21.420409;WhatsApp Image 2026-01-11 at 9.58.25 AM.JPG;01/11/2026
Geological phenomena;39.9037007;21.4241907;WhatsApp Image 2026-01-11 at 10.57.53 AM.JPG;01/11/2026
Geological phenomena;39.90409;21.424057;WhatsApp Image 2026-01-11 at 11.17.45 AM.JPG;01/11/2026
Geological phenomena;39.903963;21.417887;WhatsApp Image 2026-01-12 at 11.18.50 AM.jpeg;01/12/2026
Geological phenomena;39.903333;21.416623;WhatsApp Image 2026-01-12 at 11.36.58 AM.jpeg;01/12/2026
Geological phenomena;39.903736;21.419213;WhatsApp Image 2026-01-12 at 11.39.22 AM.jpeg;01/12/2026
;;;;
«⁄„«· «·Õ„«Ì… «·ﬁ«∆„…;39.902894;21.421206;WhatsApp Image 2026-01-08 at 2.00.50 PM (2).jpeg;01/08/2026
«⁄„«· «·Õ„«Ì… «·ﬁ«∆„…;39.902906;21.421207;WhatsApp Image 2026-01-08 at 2.00.50 PM.jpeg;01/08/2026
«⁄„«· «·Õ„«Ì… «·ﬁ«∆„…;39.902557;21.421386;WhatsApp Image 2026-01-08 at 2.00.51 PM (1).jpeg;01/08/2026
«⁄„«· «·Õ„«Ì… «·ﬁ«∆„…;39.902827;21.416144;WhatsApp Image 2026-01-10 at 2.21.46 PM (1).jpeg;01/10/2026
«⁄„«· «·Õ„«Ì… «·ﬁ«∆„…;39.902851;21.41615;WhatsApp Image 2026-01-10 at 2.21.46 PM.jpeg;01/10/2026
«⁄„«· «·Õ„«Ì… «·ﬁ«∆„…;39.903543;21.427246;WhatsApp Image 2026-01-10 at 11.41.45 AM (1).jpeg;01/10/2026
«⁄„«· «·Õ„«Ì… «·ﬁ«∆„…;39.903606;21.427275;WhatsApp Image 2026-01-10 at 11.41.45 AM.jpeg;01/10/2026
«⁄„«· «·Õ„«Ì… «·ﬁ«∆„…;39.90305;21.425916;WhatsApp Image 2026-01-10 at 11.41.46 AM (1).jpeg;01/10/2026
«⁄„«· «·Õ„«Ì… «·ﬁ«∆„…;39.903488;21.427245;WhatsApp Image 2026-01-10 at 11.41.46 AM.jpeg;01/10/2026
«⁄„«· «·Õ„«Ì… «·ﬁ«∆„…;39.902855;21.425502;WhatsApp Image 2026-01-10 at 11.41.48 AM (1).jpeg;01/10/2026
«⁄„«· «·Õ„«Ì… «·ﬁ«∆„…;39.902813;21.42545;WhatsApp Image 2026-01-10 at 11.41.48 AM (2).jpeg;01/10/2026
«⁄„«· «·Õ„«Ì… «·ﬁ«∆„…;39.902856;21.425501;WhatsApp Image 2026-01-10 at 11.41.48 AM.jpeg;01/10/2026
«⁄„«· «·Õ„«Ì… «·ﬁ«∆„…;39.902753;21.425432;WhatsApp Image 2026-01-10 at 11.41.49 AM (1).jpeg;01/10/2026
«⁄„«· «·Õ„«Ì… «·ﬁ«∆„…;39.902665;21.425399;WhatsApp Image 2026-01-10 at 11.41.49 AM (2).jpeg;01/10/2026
«⁄„«· «·Õ„«Ì… «·ﬁ«∆„…;39.903002;21.422112;WhatsApp Image 2026-01-10 at 12.58.50 PM.jpeg;01/10/2026
«⁄„«· «·Õ„«Ì… «·ﬁ«∆„…;39.90372;21.421202;WhatsApp Image 2026-01-11 at 9.08.02 AM.JPG;01/11/2026
«⁄„«· «·Õ„«Ì… «·ﬁ«∆„…;39.901947;21.419075;WhatsApp Image 2026-01-12 at 9.18.12 AM.jpeg;01/12/2026
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
